Date,Open,High,Low,Close,Volume,Ticker
30-06-09,9.13,9.13,9.13,9.13,294070,VCB
01-07-09,9.59,9.59,9.06,9.21,6248390,VCB
02-07-09,9.06,9.13,8.75,8.83,1515670,VCB
03-07-09,8.6,8.68,8.53,8.53,899720,VCB
06-07-09,8.53,8.91,8.53,8.91,1571740,VCB
07-07-09,8.75,8.83,8.6,8.6,1115420,VCB
08-07-09,8.37,8.53,8.3,8.45,763030,VCB
09-07-09,8.3,8.53,8.14,8.22,982430,VCB
10-07-09,8.07,8.14,7.84,7.84,1973450,VCB
13-07-09,7.61,7.84,7.46,7.46,812260,VCB
14-07-09,7.49,7.49,7.23,7.28,847840,VCB
15-07-09,7.31,7.58,7.31,7.46,807250,VCB
16-07-09,7.61,7.61,7.52,7.58,638990,VCB
17-07-09,7.54,7.57,7.43,7.47,311000,VCB
20-07-09,7.17,7.2,7.11,7.12,869220,VCB
21-07-09,7.19,7.26,7.12,7.14,483900,VCB
22-07-09,7.23,7.25,7.19,7.23,411780,VCB
23-07-09,7.16,7.58,7.16,7.58,929090,VCB
24-07-09,7.92,7.92,7.92,7.92,624760,VCB
27-07-09,8.3,8.3,7.99,8.3,1535460,VCB
28-07-09,8.3,8.53,7.99,8.07,1192800,VCB
29-07-09,8.14,8.22,7.84,7.99,924570,VCB
30-07-09,7.92,7.99,7.69,7.84,606660,VCB
31-07-09,8.14,8.22,8.07,8.22,1125450,VCB
03-08-09,8.6,8.6,8.37,8.6,2707260,VCB
04-08-09,8.98,8.98,8.68,8.91,1869220,VCB
05-08-09,8.83,8.98,8.68,8.83,1654270,VCB
06-08-09,8.83,8.98,8.6,8.68,1656340,VCB
07-08-09,8.6,8.75,8.6,8.6,1017420,VCB
10-08-09,8.68,8.83,8.6,8.75,689300,VCB
11-08-09,8.68,8.83,8.6,8.68,1207840,VCB
12-08-09,8.75,8.75,8.6,8.6,996150,VCB
13-08-09,8.75,8.75,8.6,8.68,896790,VCB
14-08-09,8.6,8.75,8.6,8.68,709790,VCB
17-08-09,8.6,8.68,8.53,8.53,622790,VCB
18-08-09,8.37,8.53,8.37,8.45,927850,VCB
19-08-09,8.6,8.6,8.37,8.45,719390,VCB
20-08-09,8.53,8.53,8.37,8.45,578130,VCB
21-08-09,8.53,8.83,8.53,8.53,1444220,VCB
24-08-09,8.68,8.68,8.53,8.6,634370,VCB
25-08-09,8.6,8.6,8.45,8.45,577480,VCB
26-08-09,8.53,8.6,8.45,8.53,516120,VCB
27-08-09,8.53,8.53,8.45,8.53,538870,VCB
28-08-09,8.6,8.6,8.53,8.6,639140,VCB
31-08-09,8.75,8.75,8.6,8.75,874340,VCB
01-09-09,8.68,8.75,8.6,8.68,847070,VCB
03-09-09,8.53,8.6,8.3,8.53,1078760,VCB
04-09-09,8.3,8.53,8.3,8.3,1015060,VCB
07-09-09,8.07,8.3,7.92,8.07,954060,VCB
08-09-09,8.14,8.22,8.07,8.14,687300,VCB
09-09-09,8.14,8.22,8.07,8.14,682660,VCB
10-09-09,8.07,8.14,8.07,8.07,412250,VCB
11-09-09,8.07,8.14,7.99,8.07,416470,VCB
14-09-09,8.07,8.14,7.99,8.07,588470,VCB
15-09-09,8.14,8.14,7.99,7.99,727020,VCB
16-09-09,8.37,8.37,8.37,8.37,879780,VCB
17-09-09,8.75,8.75,8.22,8.53,2195540,VCB
18-09-09,8.37,8.6,8.22,8.6,850000,VCB
21-09-09,8.6,8.6,8.37,8.37,761980,VCB
22-09-09,8.22,8.37,8.22,8.22,658880,VCB
23-09-09,8.37,8.53,8.3,8.3,757950,VCB
24-09-09,8.22,8.3,8.14,8.14,541670,VCB
25-09-09,8.14,8.53,8.07,8.45,933140,VCB
28-09-09,8.53,8.53,8.3,8.3,561480,VCB
29-09-09,8.37,8.37,8.14,8.22,750310,VCB
30-09-09,8.22,8.3,8.07,8.14,712000,VCB
01-10-09,8.14,8.14,7.99,7.99,875180,VCB
02-10-09,7.84,7.84,7.61,7.76,1416100,VCB
05-10-09,7.84,7.84,7.61,7.76,606370,VCB
06-10-09,7.84,7.84,7.69,7.69,460990,VCB
07-10-09,7.76,7.84,7.69,7.76,596580,VCB
08-10-09,7.84,7.84,7.69,7.76,448600,VCB
09-10-09,7.84,7.92,7.76,7.84,794860,VCB
12-10-09,7.92,8.07,7.84,8.07,759120,VCB
13-10-09,8.07,8.07,7.76,7.92,513610,VCB
14-10-09,7.84,8.3,7.84,8.3,1359110,VCB
15-10-09,8.68,8.68,8.53,8.68,3378300,VCB
16-10-09,8.75,8.98,8.6,8.6,2239820,VCB
19-10-09,8.37,8.6,8.3,8.37,1015080,VCB
20-10-09,8.45,8.53,8.3,8.3,909450,VCB
21-10-09,8.3,8.3,8.22,8.22,1038410,VCB
22-10-09,8.3,8.37,8.22,8.37,865390,VCB
23-10-09,8.45,8.75,8.37,8.6,3946240,VCB
26-10-09,8.68,8.75,8.3,8.37,1130810,VCB
27-10-09,8.07,8.3,7.99,8.07,1594080,VCB
28-10-09,8.22,8.22,7.99,8.07,623620,VCB
29-10-09,7.84,7.99,7.69,7.76,3489050,VCB
30-10-09,7.99,8.07,7.76,7.92,1302800,VCB
02-11-09,7.92,8.07,7.69,8.07,2142950,VCB
03-11-09,7.99,8.07,7.69,7.84,1390550,VCB
04-11-09,7.92,7.99,7.76,7.84,788110,VCB
05-11-09,7.84,8.14,7.84,8.07,997290,VCB
06-11-09,8.07,8.14,7.84,7.84,905910,VCB
09-11-09,7.76,7.92,7.69,7.69,1193030,VCB
10-11-09,7.76,7.84,7.55,7.55,813300,VCB
11-11-09,7.61,7.69,7.54,7.61,657810,VCB
12-11-09,7.69,7.76,7.58,7.69,948480,VCB
13-11-09,7.61,7.61,7.55,7.58,703390,VCB
16-11-09,7.54,7.61,7.54,7.55,770120,VCB
17-11-09,7.52,7.54,7.44,7.44,601790,VCB
18-11-09,7.38,7.43,7.32,7.35,536330,VCB
19-11-09,7.37,7.51,7.31,7.44,533380,VCB
20-11-09,7.44,7.44,7.34,7.34,585050,VCB
23-11-09,7.31,7.32,7.19,7.19,771170,VCB
24-11-09,7.16,7.17,7.05,7.05,585000,VCB
25-11-09,7.0,7.0,6.7,6.7,1319610,VCB
26-11-09,6.47,6.53,6.36,6.36,1859930,VCB
27-11-09,6.06,6.67,6.06,6.67,947680,VCB
30-11-09,6.82,6.99,6.77,6.99,715590,VCB
01-12-09,7.31,7.32,7.23,7.32,943350,VCB
