Date,Open,High,Low,Close,Volume,Ticker
01-04-09,3.63,3.63,3.54,3.56,29920,VNM
02-04-09,3.58,3.65,3.56,3.65,39420,VNM
03-04-09,3.74,3.83,3.74,3.8,156200,VNM
07-04-09,3.87,3.87,3.76,3.85,69370,VNM
08-04-09,3.76,3.78,3.67,3.67,80990,VNM
09-04-09,3.72,3.72,3.6,3.65,41590,VNM
10-04-09,3.83,3.83,3.56,3.76,135420,VNM
13-04-09,3.83,3.94,3.78,3.94,215060,VNM
14-04-09,4.07,4.07,3.83,3.94,302310,VNM
15-04-09,3.87,3.94,3.83,3.87,432310,VNM
16-04-09,3.87,4.0,3.83,3.89,323320,VNM
17-04-09,3.85,3.85,3.72,3.72,178240,VNM
20-04-09,3.54,3.6,3.54,3.56,138330,VNM
21-04-09,3.47,3.74,3.47,3.74,171520,VNM
22-04-09,3.87,3.92,3.78,3.78,147510,VNM
23-04-09,3.69,3.83,3.67,3.69,25030,VNM
24-04-09,3.56,3.69,3.56,3.69,72480,VNM
27-04-09,3.8,3.85,3.76,3.85,150460,VNM
28-04-09,3.76,3.8,3.76,3.78,46830,VNM
29-04-09,3.74,3.8,3.74,3.78,30130,VNM
04-05-09,3.96,3.96,3.96,3.96,163680,VNM
05-05-09,4.14,4.14,4.14,4.14,221270,VNM
06-05-09,4.18,4.29,4.14,4.27,329780,VNM
07-05-09,4.36,4.41,4.32,4.41,89520,VNM
08-05-09,4.27,4.38,4.25,4.25,52790,VNM
11-05-09,4.41,4.43,4.32,4.36,163660,VNM
12-05-09,4.36,4.38,4.32,4.36,119050,VNM
13-05-09,4.38,4.38,4.27,4.36,175370,VNM
14-05-09,4.23,4.32,4.23,4.25,145800,VNM
15-05-09,4.34,4.36,4.27,4.36,114750,VNM
18-05-09,4.34,4.34,4.29,4.32,132700,VNM
19-05-09,4.38,4.38,4.27,4.27,110960,VNM
20-05-09,4.23,4.32,4.21,4.23,140220,VNM
21-05-09,4.23,4.23,4.21,4.21,143210,VNM
22-05-09,4.16,4.21,4.09,4.09,111790,VNM
25-05-09,4.14,4.23,4.09,4.21,151310,VNM
26-05-09,4.14,4.21,4.09,4.09,166350,VNM
27-05-09,4.09,4.14,4.07,4.07,162210,VNM
28-05-09,3.98,4.05,3.96,4.0,287870,VNM
29-05-09,4.16,4.16,3.92,3.92,129040,VNM
01-06-09,4.0,4.09,4.0,4.07,257090,VNM
02-06-09,4.27,4.27,4.09,4.14,199210,VNM
03-06-09,4.16,4.16,4.09,4.14,221330,VNM
04-06-09,4.14,4.21,4.14,4.18,248860,VNM
05-06-09,4.34,4.34,4.25,4.29,184360,VNM
08-06-09,4.49,4.49,4.49,4.49,142560,VNM
09-06-09,4.72,4.72,4.63,4.72,302620,VNM
10-06-09,4.72,4.72,4.72,4.49,240700,VNM
11-06-09,4.49,4.54,4.49,4.67,114680,VNM
12-06-09,4.72,4.72,4.49,4.54,137560,VNM
15-06-09,4.32,4.36,4.32,4.34,263770,VNM
16-06-09,4.14,4.16,4.14,4.14,304100,VNM
17-06-09,3.94,4.09,3.94,4.0,263160,VNM
18-06-09,4.21,4.21,4.14,4.21,76420,VNM
19-06-09,4.27,4.27,4.18,4.21,69950,VNM
22-06-09,4.21,4.21,4.09,4.16,44440,VNM
23-06-09,3.98,4.05,3.96,3.98,244700,VNM
24-06-09,4.14,4.16,4.09,4.16,74770,VNM
25-06-09,4.32,4.32,4.18,4.32,177000,VNM
26-06-09,4.32,4.34,4.29,4.32,177730,VNM
29-06-09,4.36,4.36,4.25,4.25,34310,VNM
30-06-09,4.25,4.27,4.09,4.09,74960,VNM
01-07-09,4.03,4.09,4.0,4.0,179890,VNM
02-07-09,4.0,4.14,4.0,4.05,203350,VNM
03-07-09,4.09,4.14,4.07,4.14,77110,VNM
06-07-09,4.21,4.32,4.14,4.32,200830,VNM
07-07-09,4.23,4.27,4.14,4.23,272760,VNM
08-07-09,4.23,4.36,4.18,4.36,187110,VNM
09-07-09,4.54,4.54,4.54,4.54,71590,VNM
10-07-09,4.76,4.76,4.76,4.76,49310,VNM
13-07-09,4.98,4.98,4.98,4.98,535160,VNM
14-07-09,5.21,5.21,4.89,5.12,1036480,VNM
15-07-09,5.25,5.34,5.21,5.34,395120,VNM
16-07-09,5.52,5.52,5.3,5.34,207640,VNM
17-07-09,5.25,5.25,5.07,5.07,343320,VNM
20-07-09,4.9,4.99,4.9,4.94,215070,VNM
21-07-09,4.94,5.03,4.94,4.99,227420,VNM
22-07-09,5.08,5.17,5.08,5.12,184970,VNM
23-07-09,5.12,5.21,5.12,5.21,254820,VNM
24-07-09,5.44,5.44,5.39,5.44,376280,VNM
27-07-09,5.44,5.62,5.39,5.62,242950,VNM
28-07-09,5.44,5.62,5.44,5.62,248020,VNM
29-07-09,5.67,5.67,5.62,5.62,231450,VNM
30-07-09,5.58,5.62,5.39,5.58,80040,VNM
31-07-09,5.62,5.71,5.58,5.71,276590,VNM
03-08-09,5.8,5.98,5.76,5.98,98280,VNM
04-08-09,6.26,6.26,6.17,6.26,268310,VNM
05-08-09,6.3,6.53,6.26,6.48,305660,VNM
06-08-09,6.48,6.66,6.26,6.39,131440,VNM
07-08-09,6.39,6.44,6.35,6.39,85680,VNM
10-08-09,6.48,6.57,6.39,6.57,122670,VNM
11-08-09,6.71,6.8,6.71,6.8,196940,VNM
12-08-09,6.8,6.85,6.71,6.71,157810,VNM
13-08-09,6.71,6.75,6.66,6.71,226530,VNM
14-08-09,6.66,6.8,6.66,6.8,126370,VNM
17-08-09,6.8,6.94,6.8,6.85,113260,VNM
18-08-09,6.75,6.8,6.66,6.71,126490,VNM
19-08-09,6.75,6.85,6.71,6.71,56190,VNM
20-08-09,7.03,7.03,6.85,7.03,207070,VNM
21-08-09,7.34,7.34,7.03,7.25,505720,VNM
24-08-09,7.25,7.25,7.16,7.16,219780,VNM
25-08-09,7.07,7.12,6.85,7.12,164620,VNM
26-08-09,6.89,7.03,6.8,6.8,229170,VNM
27-08-09,6.94,6.98,6.89,6.98,121990,VNM
28-08-09,7.16,7.16,7.03,7.07,192700,VNM
31-08-09,7.16,7.16,7.07,7.16,264350,VNM
01-09-09,7.07,7.16,7.03,7.07,94210,VNM
03-09-09,6.89,7.03,6.75,6.89,506420,VNM
04-09-09,6.75,6.94,6.71,6.75,139550,VNM
07-09-09,6.8,6.85,6.71,6.8,128120,VNM
08-09-09,7.12,7.12,6.89,7.12,240420,VNM
09-09-09,7.03,7.16,7.03,7.03,63130,VNM
10-09-09,7.34,7.34,7.3,7.34,344340,VNM
11-09-09,7.71,7.71,7.62,7.71,461500,VNM
14-09-09,7.93,8.02,7.84,7.93,271030,VNM
15-09-09,7.8,7.89,7.57,7.57,383940,VNM
16-09-09,7.48,7.53,7.34,7.43,245450,VNM
17-09-09,7.75,7.8,7.57,7.8,711440,VNM
18-09-09,8.16,8.16,8.16,8.16,577530,VNM
21-09-09,8.57,8.57,8.57,8.57,503510,VNM
22-09-09,8.98,8.98,8.75,8.98,2191200,VNM
23-09-09,8.98,8.98,8.61,8.61,1145820,VNM
24-09-09,8.25,8.61,8.21,8.21,1131030,VNM
25-09-09,8.16,8.34,8.07,8.25,559770,VNM
28-09-09,8.25,8.3,7.98,7.98,581330,VNM
29-09-09,7.8,7.93,7.8,7.8,920850,VNM
30-09-09,7.89,8.16,7.8,8.16,678350,VNM
01-10-09,8.39,8.39,7.98,7.98,667590,VNM
02-10-09,7.71,7.89,7.62,7.75,873070,VNM
05-10-09,7.71,7.8,7.62,7.71,288520,VNM
06-10-09,7.71,7.75,7.62,7.66,489010,VNM
07-10-09,7.71,8.02,7.71,8.02,538670,VNM
08-10-09,8.16,8.16,7.98,8.11,504710,VNM
09-10-09,8.16,8.16,8.02,8.07,651820,VNM
12-10-09,8.11,8.11,7.98,8.02,264260,VNM
