Date,Open,High,Low,Close,Volume,Ticker
01-04-09,2.72,2.73,2.67,2.73,311150,FPT
02-04-09,2.87,2.87,2.83,2.87,1114300,FPT
03-04-09,2.99,2.99,2.99,2.99,900770,FPT
07-04-09,2.99,3.13,2.96,3.13,1551610,FPT
08-04-09,3.1,3.28,2.99,3.02,1546630,FPT
09-04-09,2.99,3.1,2.96,3.02,1017260,FPT
10-04-09,3.16,3.16,3.16,3.16,249850,FPT
13-04-09,3.31,3.31,3.31,3.31,104360,FPT
14-04-09,3.42,3.45,3.31,3.45,1910600,FPT
15-04-09,3.37,3.51,3.31,3.34,1695010,FPT
16-04-09,3.42,3.42,3.31,3.37,1140090,FPT
17-04-09,3.31,3.34,3.22,3.22,1117840,FPT
20-04-09,3.08,3.08,3.08,3.08,401840,FPT
21-04-09,2.93,3.02,2.93,2.99,1817720,FPT
22-04-09,3.13,3.13,3.02,3.13,971890,FPT
23-04-09,3.16,3.25,3.1,3.1,785730,FPT
24-04-09,3.1,3.13,3.02,3.13,627090,FPT
27-04-09,3.22,3.25,3.13,3.19,742370,FPT
28-04-09,3.19,3.25,3.16,3.19,507210,FPT
29-04-09,3.22,3.22,3.16,3.22,563360,FPT
04-05-09,3.37,3.37,3.37,3.37,223130,FPT
05-05-09,3.51,3.51,3.51,3.51,227170,FPT
06-05-09,3.57,3.69,3.51,3.51,2626470,FPT
07-05-09,3.69,3.69,3.66,3.69,1002450,FPT
08-05-09,3.77,3.86,3.69,3.71,1373780,FPT
11-05-09,3.8,3.86,3.71,3.83,1265940,FPT
12-05-09,3.83,3.95,3.74,3.95,829710,FPT
13-05-09,3.86,3.95,3.77,3.77,1640250,FPT
14-05-09,3.63,3.74,3.6,3.69,1708940,FPT
15-05-09,3.8,3.86,3.74,3.86,827290,FPT
18-05-09,3.83,3.95,3.8,3.86,605250,FPT
19-05-09,3.95,3.95,3.86,3.89,1014590,FPT
20-05-09,3.86,3.92,3.83,3.89,1376470,FPT
21-05-09,3.8,3.89,3.8,3.8,774240,FPT
22-05-09,3.66,3.77,3.66,3.69,738560,FPT
25-05-09,3.71,3.86,3.71,3.86,717520,FPT
26-05-09,3.92,3.98,3.86,3.89,741030,FPT
27-05-09,3.95,3.95,3.77,3.89,658000,FPT
28-05-09,3.86,3.89,3.77,3.83,615880,FPT
29-05-09,3.86,3.86,3.74,3.83,563290,FPT
01-06-09,3.86,3.98,3.86,3.98,784740,FPT
02-06-09,4.15,4.15,4.06,4.06,1099910,FPT
03-06-09,4.06,4.12,4.03,4.06,626920,FPT
04-06-09,4.12,4.21,4.06,4.15,644940,FPT
05-06-09,4.36,4.36,4.3,4.36,769620,FPT
08-06-09,4.56,4.56,4.56,4.56,320260,FPT
09-06-09,4.47,4.59,4.47,4.53,758270,FPT
10-06-09,4.36,4.39,4.36,4.33,1249380,FPT
11-06-09,4.33,4.36,4.3,4.33,1109720,FPT
12-06-09,4.39,4.39,4.15,4.15,1008960,FPT
15-06-09,4.0,4.12,3.94,4.0,978250,FPT
16-06-09,3.83,3.92,3.83,3.86,1319490,FPT
17-06-09,3.86,4.03,3.86,4.03,947180,FPT
18-06-09,4.21,4.21,4.21,4.21,157690,FPT
19-06-09,4.42,4.42,4.33,4.42,1487800,FPT
22-06-09,4.24,4.27,4.21,4.21,693990,FPT
23-06-09,4.0,4.06,4.0,4.03,1071590,FPT
24-06-09,4.21,4.21,4.21,4.21,234300,FPT
25-06-09,4.42,4.42,4.21,4.24,1056790,FPT
26-06-09,4.24,4.36,4.24,4.33,549500,FPT
29-06-09,4.3,4.33,4.27,4.3,531410,FPT
30-06-09,4.27,4.3,4.09,4.12,876180,FPT
01-07-09,3.94,4.0,3.92,3.94,659490,FPT
02-07-09,4.0,4.12,3.94,4.09,290660,FPT
03-07-09,3.97,4.15,3.97,4.15,342180,FPT
06-07-09,4.18,4.36,4.15,4.33,368720,FPT
07-07-09,4.3,4.33,4.24,4.27,447350,FPT
08-07-09,4.21,4.24,4.15,4.24,226360,FPT
09-07-09,4.18,4.27,4.18,4.18,216460,FPT
10-07-09,4.15,4.18,4.12,4.18,359970,FPT
13-07-09,4.18,4.18,4.12,4.18,336190,FPT
14-07-09,4.15,4.18,4.12,4.12,295060,FPT
15-07-09,4.18,4.24,4.18,4.21,143930,FPT
16-07-09,4.36,4.36,4.24,4.24,229170,FPT
17-07-09,4.24,4.3,4.21,4.24,294310,FPT
20-07-09,4.21,4.21,4.15,4.15,302290,FPT
21-07-09,4.21,4.24,4.12,4.24,530220,FPT
22-07-09,4.3,4.3,4.21,4.24,342760,FPT
23-07-09,4.24,4.3,4.24,4.3,214440,FPT
24-07-09,4.5,4.5,4.47,4.5,421560,FPT
27-07-09,4.65,4.65,4.47,4.53,470390,FPT
