Date,Open,High,Low,Close,Volume,Ticker
2010-01-04,4.87,4.96,4.75,4.96,235620,FPT
2010-01-05,5.14,5.14,4.96,4.96,200040,FPT
2010-01-06,4.96,5.02,4.78,4.87,94870,FPT
2010-01-07,4.87,4.9,4.81,4.84,102720,FPT
2010-01-08,4.93,4.93,4.69,4.69,161560,FPT
2010-01-04,1.47,1.49,1.47,1.49,603120,HPG
2010-01-05,1.56,1.56,1.49,1.56,1203080,HPG
2010-01-06,1.55,1.61,1.54,1.61,1771660,HPG
2010-01-07,1.64,1.68,1.61,1.66,1535800,HPG
2010-01-08,1.7,1.7,1.59,1.59,909010,HPG
2010-01-04,18.02,18.48,18.02,18.48,182850,MSN
2010-01-05,19.35,19.35,19.25,19.35,310230,MSN
2010-01-06,18.79,20.07,18.79,20.07,181180,MSN
2010-01-07,20.07,20.07,19.56,19.56,52800,MSN
2010-01-08,19.3,19.77,18.84,18.84,104480,MSN
2010-01-04,7.16,7.51,7.16,7.51,598640,VCB
2010-01-05,7.76,7.84,7.51,7.58,935140,VCB
2010-01-06,7.32,7.58,7.31,7.31,479840,VCB
2010-01-07,7.31,7.32,7.16,7.16,207490,VCB
2010-01-08,7.25,7.28,7.14,7.16,351610,VCB
2010-01-04,4.22,4.4,4.22,4.4,28450,VIC
2010-01-05,4.58,4.58,4.44,4.47,81630,VIC
2010-01-06,4.31,4.49,4.31,4.38,26740,VIC
2010-01-07,4.38,4.38,4.22,4.38,30400,VIC
2010-01-08,4.33,4.44,4.26,4.35,30710,VIC
2010-01-04,6.8,7.12,6.8,7.12,522570,VNM
2010-01-05,7.43,7.43,7.34,7.43,788950,VNM
2010-01-06,7.25,7.53,7.25,7.48,320220,VNM
2010-01-07,7.43,7.48,7.25,7.25,165310,VNM
2010-01-08,7.25,7.39,7.03,7.03,391270,VNM
